GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,"2.4670000000000005,21.133000000000003",#,#,"-2.1550000000000002,7.155","15.508085283611791,40.1",#,#,#,"-1.0010000000000001,1.0010000000000001","-2.805,2.805","-29.5,29.5",#,#,#,#,#,#,"-0.8480000000000003,1.4480000000000004",0.0,1.0,1.0,1,24.919999999999998,49600,43570,0.3684210526315789,0.00027785007956864795,6,6
"54.25,89.75","-4.798996852627276,28.332903216444656","-5.375000000000001,12.775000000000002","-0.4335,2.8335","-2.935,7.135","45.096,77.56814628029147","-1.5238349482855593,0.3105",#,#,#,"-2.2249999999999996,4.394878020851604","24.2,56.585251256684",#,"-2.0199999999999996,6.002134139458823","0.05021455991557078,4.662495308188306","-1.096,2.296","-0.11250000000000004,1.1125","-0.31400000000000006,1.714","-0.48150000000000004,1.2815",0.0,0.3276800000000001,0.8,1,62.47221304792161,49641,43611,0.7894736842105263,0.0006965453196707283,48,60
"23.7,66.3",#,"-0.8375000000000004,24.784470536005287","-0.6789999999999998,3.4789999999999996",#,"45.096,62.904","-1.5238349482855593,0.3105",#,#,#,#,#,"-0.6214999999999999,1.0215","-2.0199999999999996,6.002134139458823",#,#,"0.34753676680881185,0.65",#,"-1.3404916980515358,1.2815",0.0,0.08390408099496938,0.6091954022988506,1,61.34691881498716,49926,43725,0.47368421052631576,0.0006839986466306409,106,174
"-11.010000000000002,33.010000000000005","-0.4610000000000003,24.061","-8.125000000000002,11.125000000000002","-1.5769999999999997,3.082","-1.2599999999999998,11.830298552331692","13.621766083351428,46.196000000000005",#,#,"-31.5,31.5","-2.472,3.0719999999999996",#,"42.2,97.8",#,#,#,#,#,#,#,0.0,0.5877384204480295,0.8991596638655462,1,105.24860497803975,49989,43746,0.47368421052631576,0.0011734884938859368,214,238
#,"25.433,43.367",#,"5.266500000000001,11.965","14.66775901194914,18.475","32.65599999999999,58.944","-0.8394999999999999,1.068","-1.455,2.7399999999999998",#,#,"2.083,11.305","32.2,107.7",#,#,#,"1.9210000000000003,6.479","1.225,2.975",#,#,1.0,1.0,1.0,1,74.83418018801031,49804,43774,0.5263157894736842,0.0008343773242252489,30,30
"58.055,99.945","6.25,24.55",#,"-1.4537066996610402,7.88",#,"42.296,55.932",#,#,#,#,#,"42.7,111.1",#,"0.21928857756479347,4.296",#,#,#,#,#,1.0,0.331238135679053,0.801729873586161,1,79.79617396631862,49984,43805,0.3157894736842105,0.0009002835110539654,1205,1503
"31.67329548728018,108.49748139154144","25.033,42.967","8.9375,24.0625",#,#,"41.268,51.32","1.179,2.5485",#,"-35.5,51.0",#,#,"57.599999999999994,84.6",#,#,#,#,#,"-1.1065,1.5065","-0.9701579597171907,2.0455",1.0,1.0,1.0,1,74.51329272577385,49935,43878,0.47368421052631576,0.000830799531010362,61,61
#,#,"5.95,13.650000000000002","3.3685000000000005,7.031499999999999","5.824999999999999,14.375","41.268,67.132",#,"1.4975000000000003,3.9025","6.5,75.3",#,"-0.8719999999999999,6.4719999999999995",#,#,#,#,"3.069,5.931","-0.41250000000000014,1.0125000000000002",#,#,1.0,0.13168724279835387,0.6666666666666666,1,76.15111682110818,49935,43924,0.47368421052631576,0.0008490607491166257,36,54
#,#,#,#,"3.185,13.615","18.9,40.1",#,"0.9429993366846046,2.418647478322782","-31.5,31.5","-1.7945000000000002,2.5945",#,#,#,"-1.85,3.074","-2.3,4.5","0.7029999999999998,5.897",#,"-0.575,1.375",#,0.0,0.21862892096655284,0.7378048780487805,1,102.72298257790428,49989,43944,0.47368421052631576,0.0011453286068539143,121,164
"54.35,107.27",#,#,#,#,"34.296,62.704",#,#,#,#,#,#,"0.575,4.2625",#,"7.064,10.911999999999999",#,#,"-2.351601728885778,1.541",#,1.0,1.0,1.0,1,95.36947154090599,49990,44013,0.2631578947368421,0.0010633392959895922,170,170
"58.055,99.945","13.382,30.218000000000004","3.3125,15.6875","-1.4537066996610402,7.88",#,"42.296,55.932","0.5630000000000001,1.4369999999999998","-1.71,4.047499999999999",#,#,#,#,#,#,#,#,#,"-0.9869999999999999,1.587","-0.7915000000000001,2.9375",1.0,0.4234790289079717,0.8421052631578947,1,78.54869361978088,49935,44015,0.47368421052631576,0.0008757929683896255,160,190
#,#,#,#,#,#,#,#,"3.200000000000003,72.2",#,#,#,#,#,#,#,#,#,#,1.0,0.095367431640625,0.625,1,67.92612188396639,49995,44250,0.05263157894736842,0.0007573546697531999,2350,3760
#,"13.772999999999998,39.027","6.874999999999999,19.525",#,#,#,#,#,#,#,#,"45.0,119.0","0.575,3.2249999999999996","4.3443996725827105,7.3100000000000005","7.064,10.911999999999999",#,"0.125,1.675",#,#,1.0,1.0,1.0,1,85.89844592010849,49861,44319,0.3684210526315789,0.000957740370534725,158,158
#,#,"16.4625,25.5375",#,#,#,"-0.345,0.345","-1.455,3.115","-36.5,51.0",#,"5.695,11.305",#,"0.7304999999999999,3.813",#,"1.2439999999999998,10.911999999999999",#,"0.6625,1.675","-1.0065,1.6065","1.5469999999999997,4.253",1.0,1.0,1.0,1,81.54093948930884,49725,44406,0.5263157894736842,0.0009091555587964193,21,21
#,#,#,#,#,"36.172,65.428","1.6515000000000002,2.5485",#,#,"-0.10999999999999988,3.1015",#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,2,66.98622398432084,49994,44426,0.15789473684210525,0.001493750213807931,50,50
"58.055,99.945","6.25,26.888","3.3125,15.6875","1.8795000000000006,5.371647806601926",#,"36.63577597725131,55.932",#,#,#,#,#,#,#,#,#,#,#,"-1.0234999999999999,1.8235000000000001","-0.23500000000000032,2.9375",1.0,0.3453155376041159,0.8084314941103534,1,71.95715522422995,49995,44481,0.3684210526315789,0.0007910303017226322,1304,1613
"-5.487614822941606,44.005",#,#,"2.4822925751439664,3.8244999999999996","-1.69,6.775",#,#,#,"-2.5658912332502233,34.5",#,"-2.9719999999999995,5.313",#,#,#,"-0.8639999999999999,9.064",#,#,"-0.6529999999999999,1.4529999999999998","1.1669999999999998,2.233",0.0,1.0,1.0,1,91.68280284933148,49715,44484,0.42105263157894735,0.0010222341118283874,27,27
#,#,#,"3.3685000000000005,7.031499999999999","5.824999999999999,14.375",#,#,#,"6.5,75.3","0.2819999999999996,5.518000000000001","-0.8719999999999999,6.4719999999999995",#,#,#,"-0.9447286796909222,6.408","3.069,5.931","-0.41250000000000014,1.0125000000000002",#,"-0.045500000000000096,2.0455",1.0,0.43375716751999094,0.8461538461538461,1,81.07744466655024,49935,44540,0.47368421052631576,0.0009039877388372246,66,78
