GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count 
#,"25.367000000000004,62.18899971592291",#,"5.09203477173228,7.522499999999999",#,#,#,#,#,#,#,"80.5,119.5",#,#,"4.125261081045,5.484","2.832,8.768",#,#,#,1.0,1.0,1.0,1,73.0,49870,48865,0.2631578947368421,0.0007412153247466931,3,3
"-0.16266417115467036,60.892947098646246",#,"1.2750000000000004,12.194210304649008",#,#,#,#,"1.3497705810279998,3.54713569161508",#,"-1.4405000000000001,2.6405000000000003","-2.811,3.907","0.43750323990084183,95.3","-3.0153994249998757,1.3335000000000001","-0.9220000000000002,1.5220000000000002","-0.8479999999999999,4.048",#,"-0.26250000000000007,1.4625","-0.8284999999999999,0.051810908968234815","0.6314999999999997,2.9685000000000006",0.0,0.401877572016461,0.8333333333333334,1,67.24,49871,48866,0.631578947368421,0.0006827303895338033,5,6
"64.25,106.14","25.287999999999997,48.712",#,"4.7139999999999995,7.486","12.585,20.84","37.26,56.339999999999996","-0.713,0.713","-1.1800000000000002,2.98",#,#,#,#,#,#,"-0.4320000000000004,9.632",#,#,#,#,0,4.0386107340619247e-07,0.05263157894736842,1,88.83209760895795,49877,48872,0.42105263157894735,0.0009019686585911467,1,19
#,"25.367000000000004,44.033",#,"5.09203477173228,7.522499999999999",#,#,"0.8223353344765132,2.444",#,"4.700000000000003,53.2",#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,2,78.05740583582869,49946,48873,0.21052631578947367,0.0015194255652430945,23,23
#,#,#,#,#,"34.952,57.848","0.8223353344765132,2.444",#,"22.200000000000003,51.0",#,#,#,#,#,#,#,"-0.11250000000000004,1.125",#,#,1.0,0.32178662871545805,0.7971014492753623,1,75.28159192473257,49972,48873,0.21052631578947367,0.0007244820324580286,55,69
"-12.14,60.892947098646246",#,"1.2750000000000004,16.511473272230518",#,#,"22.635999999999996,50.052",#,"1.3497705810279998,3.54713569161508",#,"-2.095,3.2950000000000004","-0.2869999999999997,5.712999999999999",#,"-3.0153994249998757,1.3335000000000001",#,"-0.8479999999999999,3.936",#,"-0.5125,1.4625",#,"1.267,2.333",0.0,0.08825375108068294,0.6153846153846154,1,66.720253952,49881,48876,0.5263157894736842,0.0006774530780851166,8,13
"59.28,125.74425384782535",#,#,#,"1.995,10.89",#,#,#,#,#,#,#,"-1.408,2.408",#,"-0.7239999999999998,2.768",#,"0.13749999999999996,1.35","-0.3825,0.9824999999999999","-0.3430000000000002,2.5020000000000002",1.0,0.14759958895018843,0.6820512820512821,1,75.30317646310411,49993,48885,0.3684210526315789,0.0007646009369391405,133,195
"-12.14,37.31899423524918",#,"2.8625,11.9375",#,#,#,"-0.21399999999999997,0.614","-1.7525000000000002,4.09","-34.19671495435826,31.83087083200925","-0.9859999999999999,3.572",#,#,"-0.589,0.7889999999999999","-2.5372626993861935,3.9430000000000005",#,"-3.8749999999999996,3.2249999999999996",#,#,#,0.0,0.5904900000000001,0.9,1,100.55978417801134,49874,48887,0.47368421052631576,0.0010210473025474255,18,20
"-12.14,37.31899423524918",#,"-3.9625000000000004,8.9625",#,#,#,"-0.21399999999999997,0.614","-1.7525000000000002,4.09","-34.19671495435826,31.83087083200925",#,#,#,"-0.589,0.7889999999999999","-2.5372626993861935,3.9430000000000005","-2.0880000000000005,4.9559999999999995",#,#,"-1.4235,0.9019999999999999","0.47999999999999987,2.12",0.0,0.6112798750400543,0.90625,1,94.62264963942596,49921,48887,0.5263157894736842,0.0009607638079572559,29,32
#,#,#,"0.3805000000000005,6.419499999999999",#,#,#,#,#,#,#,#,"1.2220000000000002,3.9779999999999998",#,"7.241589399745579,11.272",#,#,"-0.6944999999999999,1.6284999999999998",#,1.0,1.0,1.0,1,86.80350490020747,49994,48889,0.21052631578947367,0.0008813710695035404,31,31
#,#,#,#,#,#,#,#,#,#,#,"60.3,86.3",#,"4.367,8.033000000000001",#,#,"-0.11250000000000004,1.325","0.11750000000000005,1.8385",#,1.0,0.6532541369668817,0.9183673469387755,1,80.08216658726383,49994,48889,0.21052631578947367,0.0008131250563479114,45,49
"52.125,63.010000000000005","15.460999999999999,43.21","-2.0125,16.4125",#,"-0.21500000000000075,10.615000000000002","33.33721539987826,64.852","-0.3255,0.3795",#,"-31.5,31.5",#,#,#,#,"0.7619999999999996,2.474",#,"-1.226,1.217892282767814","-0.15000000000000002,1.5",#,#,0,0.2373046875,0.75,2,72.75,49898,48893,0.5263157894736842,0.0014773538322006008,3,4
#,#,#,#,#,"41.588,53.937304468721905",#,#,#,#,"0.6720000000000002,3.528",#,#,#,"-0.14400000000000013,3.136",#,"1.2375,2.7375",#,#,1.0,1.0,1.0,1,84.4259648512,49904,48899,0.21052631578947367,0.0008572303966333577,15,15
"59.28,125.74425384782535",#,#,#,"5.700114859260573,10.89",#,#,#,#,#,#,#,"-1.408,2.408",#,"-0.7239999999999998,2.768","1.8329999999999997,5.9670000000000005","0.13749999999999996,1.35","-0.3825,0.9824999999999999","-0.3430000000000002,2.5020000000000002",1.0,0.36250963708328304,0.8163265306122449,1,77.31528715362487,49993,48900,0.42105263157894735,0.0007850311736364094,40,49
#,"1.1389999999999993,25.661",#,"-2.0164999999999997,3.4305",#,#,#,#,#,"-2.1565000000000003,2.71",#,"58.701277486113476,62.2",#,"-2.0199999999999996,3.62","-0.7999999999999999,2.6","-6.5729614772045135,2.8953586664590913",#,"-1.248,1.248",#,0.0,0.2084017036410597,0.7307692307692307,1,71.02589420451382,49909,48904,0.42105263157894735,0.0007211709758660682,19,26
"14.976884093146488,48.975",#,"0.09999999999999964,11.1","-0.0779999999999994,4.278","1.321954014231451,11.44",#,#,#,"13.3,38.3",#,#,"54.0,111.0","-0.843,2.1805","-3.1915127152111413,3.9430000000000005",#,"-2.0210000000000004,4.021000000000001",#,#,#,0.0,0.13703968928563204,0.672,1,75.82578541447725,49943,48909,0.47368421052631576,0.0008380021229049184,84,125
#,#,#,#,#,#,#,"-1.235,1.235",#,"0.9904999999999997,4.6095","-3.2700000000000005,5.510999999999999",#,#,#,"7.241589399745579,11.272","-3.122,4.82","-1.0435267127924202,1.1500000000000001",#,#,1.0,0.8782030639030666,0.9743589743589743,1,80.85304640108671,49994,48911,0.3157894736842105,0.0008209522882868622,38,39
"-12.14,48.975","6.120000000000001,28.080000000000002",#,#,#,#,#,"0.7225,2.4775",#,#,#,"58.701277486113476,62.2",#,#,"-1.968,4.968","-2.268,3.668","0.04999999999999993,1.35","-1.248,1.248",#,0.0,1.0,1.0,1,85.344,49909,48912,0.42105263157894735,0.0008665517900709832,7,7
"66.09,115.44387410932532",#,#,#,"0.9749999999999996,7.625","39.56399999999999,64.87766687502697",#,#,"-15.0,15.0","-0.2015,2.8015",#,#,"1.2220000000000002,3.9779999999999998","0.40507264868031817,3.745",#,#,"-0.9777608420906284,1.0125",#,"-0.8020514343893109,1.7355",1.0,0.7880921574007829,0.9534883720930233,1,79.53779874545619,49925,48920,0.47368421052631576,0.0008075977442020606,41,43
#,#,#,#,#,#,"-0.31399999999999995,0.514",#,#,#,#,"47.400000000000006,120.4",#,"-1.5550000000000002,2.963",#,#,"1.2375,3.8370566715090533","-1.343,1.5430000000000001","1.0825,2.5175",1.0,0.7835261664684589,0.9523809523809523,1,96.49331366875627,49936,48931,0.3157894736842105,0.000979757846943448,20,21
"45.41,86.59","19.641841894758468,33.544000000000004",#,"0.8150000000000002,6.0145","3.39,6.818264533540301",#,"-0.05999999999999994,0.9475","0.71,4.09","26.1,54.1",#,"-2.1129999999999995,4.313","61.0,144.75567217550432","-5.214071380743799,1.3335000000000001",#,#,"-2.3210000000000006,3.721",#,#,#,0.0,0.13168724279835387,0.6666666666666666,1,71.46503890944,49940,48935,0.5789473684210527,0.0007256298907300771,10,15
"-12.14,63.010000000000005",#,#,#,#,"16.891999999999996,49.184000000000005",#,"0.2925,2.3075","-18.314485642361966,31.83087083200925","-0.678,2.055",#,#,#,"-1.1450000000000002,2.1450000000000005",#,"-2.1210000000000004,3.9210000000000003","-0.03585224236025819,1.35",#,#,0.0,0.14899202803497943,0.6833333333333333,1,82.272308335232,49989,48938,0.42105263157894735,0.0008353629553473843,82,120
#,#,#,#,"11.995000000000001,23.205000000000002",#,#,"-1.3049999999999997,7.24",#,#,#,#,#,#,#,#,"1.05,2.7375",#,#,1.0,0.44648890045380407,0.851063829787234,1,56.739437610244565,49949,48944,0.15789473684210525,0.000576111516085235,40,47
"62.25,97.75",#,#,"5.09203477173228,9.0185",#,#,"0.8223353344765132,2.444",#,#,#,"-1.3619999999999999,7.989",#,#,#,#,"0.1100000000000001,4.08",#,"-0.953,1.153","2.083,5.117",1.0,0.46266436603796024,0.8571428571428571,1,68.456,49949,48944,0.3684210526315789,0.0006950772091898579,6,7
"-12.14,48.975","19.641841894758468,33.544000000000004","1.2750000000000004,7.380310272144927","0.7704999999999997,4.8294999999999995",#,"29.828,53.572","-0.33349999999999996,0.33349999999999996",#,"-28.999999999999996,31.83087083200925","0.1755,3.0245","-0.28300000000000014,3.083",#,"-3.0153994249998757,2.8717598205059423",#,#,#,#,#,"1.0289999999999997,3.5709999999999997",0.0,1.0,1.0,1,69.5,49961,48956,0.5789473684210527,0.0007056776036971942,2,2
"66.09,115.44387410932532",#,#,#,#,#,"-0.567,1.8191639963198587","-1.7525000000000002,1.8849999999999998","-28.500000000000004,15.0",#,#,#,"1.2220000000000002,3.9779999999999998",#,"3.4719999999999995,11.272",#,#,#,"1.544,1.7355",1.0,0.5549289573066435,0.8888888888888888,1,84.7088,49963,48958,0.3684210526315789,0.0008601022013822285,8,9
#,#,#,#,"2.695000000000001,13.905000000000001","40.876,61.19200000000001",#,"-1.8849999999999998,1.9525000000000003",#,"-0.2015,2.8015",#,"49.3,95.3",#,#,#,"-3.3219999999999996,4.521999999999999","-0.11250000000000004,1.325","0.11750000000000005,1.8385","-0.8020514343893109,2.8560000000000003",1.0,0.21744350984615698,0.7370030581039755,1,78.78834101416288,49994,48958,0.47368421052631576,0.0007999880242611773,241,327
#,"21.329,34.871",#,#,#,#,#,"0.6474999999999997,4.3525",#,#,#,#,"0.4655,4.845601706633907","2.4090000000000003,2.963",#,"-2.1100000000000003,5.3100000000000005","0.6913475774601663,1.0625",#,#,1.0,0.46266436603796024,0.8571428571428571,1,76.85600000000001,49972,48960,0.3157894736842105,0.0007803677397086556,6,7
"63.185,100.815",#,"7.7625,22.7875",#,#,#,#,"0.6474999999999997,4.3525",#,"-0.11800000000000033,5.118",#,#,#,#,"0.31599999999999984,4.279497756168117","-2.1100000000000003,5.3100000000000005","0.6913475774601663,1.0625","-0.4265,0.6265",#,1.0,0.3540925979614258,0.8125,1,72.81368648246874,49972,48967,0.42105263157894735,0.0007393235653713283,26,32
"26.215,73.785",#,"12.162499999999998,27.837500000000002",#,#,"39.98,54.82",#,#,"-25.0,25.0",#,"4.57,7.629999999999999","38.900000000000006,108.9","-0.8765301190768438,2.7815","-2.5372626993861935,8.944",#,"-2.6329999999999996,3.643",#,"1.2225000000000001,2.9775",#,0.0,0.03125,0.5,1,51.25,49978,48973,0.5263157894736842,0.0005203737725105209,2,4
#,#,"-0.8250000000000002,28.425",#,#,#,#,"-3.175063325666237,1.3325","45.15255841499342,68.5",#,#,#,"0.38450000000000006,2.1635",#,#,"-2.664755781935898,2.72","-0.15000000000000002,1.35","-1.2455,0.8460000000000001",#,1.0,0.46266436603796024,0.8571428571428571,1,65.3632709632,49981,48976,0.3684210526315789,0.0006636747686780052,12,14
#,#,#,#,"4.58,15.22",#,#,#,#,#,#,"53.099999999999994,80.9",#,"-1.5550000000000002,8.602","7.241589399745579,11.272","0.1100000000000001,6.768","0.45,1.1500000000000001","-0.953,1.7285",#,1.0,1.0,1.0,1,86.97111551826742,49994,48981,0.3684210526315789,0.0008830729264719829,27,27
#,"7.417999999999999,27.182000000000002","-3.2125000000000004,8.9625","0.7230000000000003,5.276999999999999",#,#,"-0.21399999999999997,0.614","-1.7525000000000002,5.6919484006662255","-34.19671495435826,31.83087083200925",#,"-0.6949999999999998,3.895",#,"-0.589,0.7889999999999999",#,"-2.0880000000000005,4.9559999999999995","-3.8749999999999996,3.062562772203477",#,"-1.4235,0.9019999999999999",#,0.0,0.07358034800056969,0.5934065934065934,1,80.66898107510436,49999,48982,0.5789473684210527,0.0008157046862794957,108,182
"64.25,100.815",#,#,#,#,"38.9,59.957578426489476",#,#,"32.2,39.400699533676544",#,#,"58.71647045085098,119.5",#,#,#,#,#,"0.16149999999999998,1.248","-0.8020514343893109,1.8765",1.0,0.44370531249999995,0.85,1,73.52930818644401,49992,48987,0.3157894736842105,0.0007388245909812488,34,40
#,#,#,#,#,#,"-0.6705,0.8704999999999999","-1.8849999999999998,1.4625000000000001",#,#,#,"23.1,73.1",#,#,"9.092650370230265,10.981611987371796",#,#,"0.11750000000000005,1.6284999999999998",#,0,0.0,0.0,1,58.333333333333336,48989,48989,0.2631578947368421,0.0005922953508249832,0,3
"-12.14,63.010000000000005",#,#,"-1.5224999999999997,2.585",#,#,#,#,#,#,"-2.5700000000000003,4.57","53.599999999999994,74.0","-1.913752940289903,0.7889999999999999","0.13099999999999978,2.1450000000000005",#,#,#,#,#,0.0,0.12114102291382997,0.6556291390728477,2,74.75221258574898,49999,48994,0.3157894736842105,0.0014812176096381507,99,151
#,#,"1.2750000000000004,6.812500000000001","-0.38499999999999956,2.585","-5.844999999999999,12.030000000000001",#,#,#,"-18.314485642361966,31.83087083200925","-0.9935,3.572",#,#,"-0.9455,0.7889999999999999","-1.1450000000000002,2.669",#,#,"-0.4625000000000001,1.35",#,"-0.3660000000000003,1.7660000000000002",0.0,0.08620460479736332,0.6125,1,76.05427083147707,49999,48994,0.47368421052631576,0.0007571345843643914,147,240
"-12.14,44.845",#,"-3.637500000000001,8.2","-0.3334999999999999,1.5316330627480403","-1.4000000000000004,12.030000000000001","25.903999999999996,39.896",#,"0.2925,2.3075","15.0,31.83087083200925","-0.678,3.2565000000000004","-1.383,0.4828598119216707",#,#,"-1.1450000000000002,2.669",#,#,#,"-1.2235,1.6235","-0.8325000000000002,1.2535",0.0,0.5904900000000001,0.9,1,101.85932799999999,49989,49002,0.631578947368421,0.0010342423956438346,9,10
#,#,#,#,#,#,#,"-1.551380737486241,2.8925","7.100000000000001,57.1",#,#,#,#,#,"-1.2959999999999998,8.496","2.1370000000000005,6.768",#,#,#,1.0,0.18222081480392072,0.7114093959731543,1,84.59059130044274,49994,49004,0.21052631578947367,0.0008589019534420885,106,149
"55.025,86.975",#,"4.324999999999999,13.675","1.5815000000000006,7.8185","5.299999999999999,12.9",#,#,"-1.551380737486241,2.8047503146005237","7.100000000000001,57.1",#,"-1.6249999999999996,6.025",#,"-0.6779999999999999,2.195","-3.7631646256227036,2.963","-1.2959999999999998,8.496","2.1370000000000005,4.08",#,#,#,1.0,0.2097427655167115,0.7317073170731707,1,81.1045552528287,49993,49006,0.5789473684210527,0.0008235060172624869,30,41
#,"6.973000000000001,32.227000000000004",#,#,#,"39.56399999999999,62.036",#,#,"-15.0,15.0","-0.2015,2.8015",#,#,#,#,#,#,"-0.9777608420906284,1.0125",#,#,1.0,0.10999794955414172,0.6430976430976431,1,58.39566801590148,49963,49007,0.2631578947368421,0.0005929282744137876,191,297
"66.09,115.44387410932532",#,#,#,#,"39.56399999999999,64.87766687502697","-0.567,1.8191639963198587",#,#,#,#,#,"1.2220000000000002,3.9779999999999998","0.40507264868031817,3.745",#,"-3.3219999999999996,4.521999999999999",#,#,"-0.8020514343893109,1.7355",1.0,0.6670799917018072,0.9222222222222223,3,86.19248646635336,49995,49007,0.3684210526315789,0.0026255010348034138,83,90
"59.28,115.44387410932532",#,#,#,"1.995,9.405000000000001",#,#,#,"10.500000000000004,71.9",#,#,#,#,"0.2370000000000001,3.2510000000000003","-0.09600000000000009,2.768","-2.057,5.257","0.13749999999999996,1.35","-0.3825,0.9824999999999999","-0.3430000000000002,2.5020000000000002",1,0.15514789954105912,0.6888888888888889,1,76.17204451228251,49993,49010,0.47368421052631576,0.000773423105613576,93,135
"59.28,115.44387410932532",#,"1.9749999999999996,16.825000000000003",#,#,#,"0.7707610393777689,1.536",#,#,#,#,#,"-1.408,2.408",#,#,#,"0.13749999999999996,1.0625","-0.3825,0.9824999999999999","-0.3430000000000002,2.5020000000000002",1,0.4838840102534098,0.8648648648648649,1,76.44947297205375,49972,49010,0.3684210526315789,0.0007851531631105204,32,37
"-12.14,76.07358438094263",#,"-2.1749999999999994,7.380310272144927",#,#,"17.518504059865123,31.612000000000002","-0.8394999999999999,0.8394999999999999",#,#,#,#,#,#,"0.412971909395377,2.669",#,"-0.5779999999999998,2.178","0.16249999999999992,1.0375","-0.38499999999999995,0.7849999999999999","-0.3660000000000003,3.5709999999999997",0.0,0.2994492622121735,0.7857142857142857,1,101.5353132032,49789,49013,0.47368421052631576,0.0010309524677968094,11,14
#,#,"4.324999999999999,13.675",#,#,"41.588,53.937304468721905",#,#,#,#,#,#,#,#,#,#,"1.2375,2.7375",#,"2.083,5.117",1.0,0.620921323059155,0.9090909090909091,1,84.96615680000001,49755,49021,0.21052631578947367,0.0008627153082875405,10,11
#,#,#,"0.6310000000000007,6.769",#,#,#,#,#,#,"0.6720000000000002,3.528",#,#,"-1.5550000000000002,2.963","-0.14400000000000013,3.136",#,#,#,#,1.0,0.056710646525023285,0.5632911392405063,1,69.46300778782258,49993,49021,0.21052631578947367,0.000731200663826754,267,474
#,#,"-7.625000000000002,10.8125","0.8150000000000002,6.0145","3.39,6.818264533540301",#,#,"0.8300000000000001,3.3899999999999997","-34.19671495435826,56.263439695227376",#,#,"46.7,62.2",#,#,"-0.936,4.472",#,"0.04999999999999993,1.6159687934290068",#,#,0.0,0.10979242280002384,0.6428571428571429,1,74.9883829248,49767,49022,0.42105263157894735,0.0007614046383813016,9,14
"50.57,97.43",#,#,#,#,#,#,#,#,#,#,#,"-1.6755,1.8755000000000002",#,"4.125261081045,6.888","-2.0100000000000007,3.29",#,#,"-0.24300000000000022,1.7355",1.0,0.3423062904086167,0.8070175438596491,1,66.48660133177101,49925,49031,0.2631578947368421,0.0006750806547593502,46,57
"67.445,115.44387410932532",#,#,#,"3.4554297565139347,10.89","31.624000000000002,68.82635531067514","-0.567,1.5015","-0.5449999999999999,1.145","23.4,48.4",#,"-1.6109999999999998,4.611",#,#,"-1.5550000000000002,5.385",#,"-3.400891927661876,10.016028895188757",#,#,#,1.0,0.3276800000000001,0.8,1,81.39530396650805,49988,49031,0.47368421052631576,0.0008264581734574118,44,55
"-12.14,37.31899423524918",#,"-3.9625000000000004,11.9375",#,#,#,"-0.21399999999999997,0.614","-1.7525000000000002,4.09",#,#,#,#,"-0.589,0.7889999999999999","-2.5372626993861935,3.9430000000000005","-2.0880000000000005,4.9559999999999995","-1.602,2.0020000000000002",#,"-1.4235,0.9019999999999999","0.47999999999999987,2.12",0.0,0.2149341667858102,0.7352941176470589,1,77.8867750128317,49921,49037,0.5263157894736842,0.000790833852528886,25,34
"64.25,100.815",#,#,#,#,"38.9,50.263999999999996",#,#,"-3.299999999999997,67.7","-1.1025,3.9025",#,#,#,#,#,#,#,"0.16149999999999998,1.248",#,1.0,0.4260802436167201,0.8431372549019608,1,77.27482209096583,49993,49039,0.2631578947368421,0.0007982473714838896,172,204
#,#,#,#,"-0.4899999999999993,11.29","31.659751616620703,53.937304468721905",#,"-1.2025,1.3325",#,"0.8445,1.28644801472818",#,#,#,#,"2.064,5.736",#,#,#,#,1,0.27115379039084836,0.7702702702702703,1,66.93901635252506,49925,49041,0.2631578947368421,0.0006796743115611105,57,74
"-12.14,48.975",#,#,#,"3.39,12.030000000000001",#,#,#,#,"-1.9100000000000001,2.71",#,#,"-0.9455,2.2079999999999997",#,#,#,"0.04999999999999993,1.35",#,#,0.0,0.10501957701085239,0.6371681415929203,1,69.91592038119731,49961,49042,0.2631578947368421,0.0007629938604074573,72,113
"55.025,88.295",#,"4.324999999999999,13.675","1.5815000000000006,7.8185",#,#,#,#,#,#,"-1.6249999999999996,6.025","47.400000000000006,120.4",#,"-3.7631646256227036,2.963",#,"-5.844206302539304,4.08","1.2375,3.8370566715090533",#,#,1.0,0.6472278485082303,0.9166666666666666,1,93.62080768000001,49936,49043,0.42105263157894735,0.0009505914707887523,11,12
#,#,#,#,#,#,#,"-1.105,2.8925","4.0,57.1",#,#,#,#,#,"0.31599999999999984,5.484","2.1370000000000005,5.862",#,#,#,1.0,0.14238808574503328,0.6771653543307087,1,73.28846039024458,49993,49048,0.21052631578947367,0.0007441442461416478,86,127
#,#,"4.324999999999999,13.675",#,#,#,#,"-1.551380737486241,2.8925",#,#,"-1.6249999999999996,6.025","59.3,115.3",#,"-3.7631646256227036,2.963","-1.2959999999999998,8.496","2.1370000000000005,4.08","1.2375,3.8370566715090533","-1.2235,1.6235",#,1.0,1.0,1.0,1,96.3264,49936,49057,0.47368421052631576,0.0009780630665435599,8,8
"-12.14,76.07358438094263","-3.1159999999999997,15.916","-7.625000000000002,7.380310272144927","-0.38499999999999956,2.585",#,"17.518504059865123,31.612000000000002","-0.6475,0.8474999999999999","-0.7675000000000001,1.7675",#,#,"-6.553353547075834,4.166",#,#,"-0.5800000000000001,2.669",#,#,"-0.2750000000000001,0.875","-0.38499999999999995,0.7849999999999999","-0.3660000000000003,3.5709999999999997",0.0,0.43375716751999094,0.8461538461538461,1,98.194551296,49789,49060,0.631578947368421,0.000997031592153705,11,13
"-12.14,63.010000000000005",#,"-2.0125,16.4125",#,#,"34.73349330800725,49.184000000000005",#,#,"-18.314485642361966,31.83087083200925","-0.678,3.572",#,#,"-1.913752940289903,0.7889999999999999",#,#,"-2.1210000000000004,3.9210000000000003","-0.03585224236025819,1.35",#,#,0.0,0.09797294566627217,0.6283783783783784,1,80.28882035297623,49999,49065,0.42105263157894735,0.000810879669959151,93,148
"-12.14,63.010000000000005","15.460999999999999,32.159",#,"-0.38499999999999956,4.0295000000000005",#,"16.891999999999996,61.748000000000005",#,"-1.425,2.3075","-18.314485642361966,-4.760083262610532","-0.5405000000000002,2.055",#,"43.94589109485243,58.701277486113476",#,"-1.1450000000000002,2.669",#,#,#,#,"-0.3660000000000003,1.7660000000000002",1,0.03276800000000001,0.8,1,103.05276657664001,49065,49065,0.5263157894736842,0.0010463601348513615,0,0
"-0.16266417115467036,76.07358438094263",#,#,"5.064500000000001,7.935499999999999",#,"52.343999999999994,74.164","-0.6784999999999999,0.6784999999999999",#,"-28.999999999999996,28.999999999999996",#,#,#,#,"1.2319999999999998,5.368","-2.16,8.089068288908035",#,"-0.47500000000000003,0.75",#,#,0.0,0.002619903420926422,0.43939393939393934,1,62.8185344,49067,49067,0.42105263157894735,0.0006378364434987303,0,0
"51.025,115.44387410932532",#,"0.0625,13.675",#,#,"34.264,46.136",#,#,"32.2,63.2",#,"-1.3619999999999999,4.962","58.71647045085098,96.5","1.2220000000000002,3.1628481673202495","0.08000000000000007,5.72","-0.472,6.872",#,#,#,#,1,1.0,1.0,1,90.64,49995,49071,0.47368421052631576,0.000920325438836168,6,6
"68.865,106.14",#,#,#,#,#,#,#,#,#,#,#,"3.355521318084988,5.260999999999999",#,#,#,#,#,#,1.0,1.0,1.0,1,69.649664,49630,49072,0.10526315789473684,0.0007071972372638091,10,10
"57.86,95.135",#,"18.925,28.425","8.120999999999999,12.212499999999999","10.96,20.84",#,#,#,#,#,#,#,#,"6.702000000000001,10.680000000000001",#,#,#,"2.886,4.914",#,0,0.0,0.0,1,24.0,49072,49072,0.3157894736842105,0.00024368723005370734,0,1
"-12.14,23.005000000000003",#,#,"-1.9629999999999994,5.3629999999999995",#,#,#,"-2.0725000000000002,2.6725",#,"-2.095,3.0945",#,#,#,"-3.5139248116298765,4.174",#,#,#,#,"-0.4145000000000003,2.4145000000000003",0.0,0.7241964340209961,0.9375,1,82.408390975488,49962,49076,0.3157894736842105,0.0008367446887499835,15,16
#,"16.854,39.546","0.46249999999999947,16.137500000000003",#,#,#,#,#,#,#,#,#,"-0.5924999999999999,1.7925","2.4090000000000003,2.963","-0.964,5.564",#,#,#,#,1,0.3921708428882455,0.8292682926829268,1,75.87638702759384,49972,49078,0.2631578947368421,0.000770421107551558,34,41
#,#,#,"6.734999999999999,9.0185",#,"33.036,56.339999999999996","-0.713,0.8704999999999999",#,"4.0,57.1",#,#,#,#,#,#,#,#,"0.3640000000000001,2.2359999999999998",#,1.0,0.670176922268936,0.9230769230769231,1,66.148161024,49792,49079,0.2631578947368421,0.0006716442555452152,12,13
#,#,#,#,"12.684999999999999,19.715",#,#,#,#,"3.1895000000000002,8.8105",#,"46.099999999999994,106.1","1.650103779608251,4.131",#,#,"2.1370000000000005,6.768",#,#,#,1.0,0.7241964340209961,0.9375,1,59.365736808448005,49949,49079,0.2631578947368421,0.0006027779984561712,15,16
#,#,#,"0.3805000000000005,6.419499999999999",#,#,#,"-2.0475,2.8925",#,#,#,#,#,#,#,#,#,"-0.7284999999999999,1.6284999999999998",#,1.0,0.08194143250691133,0.606318347509113,1,74.35863473811226,49995,49081,0.15789473684210525,0.0008043640587832701,499,823
#,#,#,#,#,#,#,#,#,#,#,#,#,"-1.381454703240617,8.033000000000001","7.241589399745579,11.272",#,#,"-0.6944999999999999,1.6284999999999998",#,1.0,1.0,1.0,1,85.1896433419738,49994,49081,0.15789473684210525,0.0008649845089695353,32,32
#,#,"-0.8250000000000002,28.425",#,#,#,#,"-1.2025,1.3325",#,#,#,"50.599999999999994,89.6","-0.9634999999999999,2.1635",#,"-3.1439999999999992,4.744",#,"0.27962654193446107,1.35","-1.2455,1.4675",#,1.0,0.08237944586003364,0.6069651741293532,1,71.67191500201733,49988,49091,0.3684210526315789,0.0007015135347190393,244,402
#,"6.404999999999999,30.195",#,#,#,"38.512417573693945,53.937304468721905",#,"-1.2025,1.3325","45.15255841499342,68.5",#,#,#,#,#,#,"-2.664755781935898,2.72",#,"-1.2455,1.4675",#,1,1.0,1.0,1,70.385216,49981,49091,0.3157894736842105,0.0007146657634904951,10,10
"-12.14,48.975","15.460999999999999,33.544000000000004",#,"-0.07399999999999984,5.074",#,#,"-0.3255,0.33349999999999996",#,"-28.999999999999996,31.83087083200925",#,"-0.28300000000000014,3.083",#,#,"0.7619999999999996,5.6979999999999995",#,"-1.226,3.8329999999999997",#,#,"-0.3045000000000002,3.5709999999999997",0,0.08825375108068294,0.6153846153846154,1,75.06375424000001,49879,49099,0.47368421052631576,0.0007621699311740763,8,13
#,"19.641841894758468,43.21","-1.0875,7.380310272144927",#,"1.4849999999999994,12.315000000000001",#,"-0.33349999999999996,0.8394999999999999",#,#,"0.1755,3.0245",#,#,"-3.0153994249998757,2.8717598205059423",#,#,#,#,#,"1.0289999999999997,1.894622829565324",0.0,0.0067876930607378766,0.3684210526315789,1,77.69111391708773,49929,49099,0.3684210526315789,0.0007888471812600893,7,19
"67.445,125.74425384782535","-3.0760000000000005,41.344",#,#,"2.9100000000000006,11.17201341324847","31.624000000000002,64.87766687502697","-0.506,1.5015",#,"23.4,48.4",#,"-1.6109999999999998,4.611","80.5,119.5","-1.6755,1.8755000000000002","-1.5550000000000002,6.421","-0.7239999999999998,5.1240000000000006","-2.0100000000000007,10.016028895188757",#,"-0.719,0.9189999999999999","-0.22566539335211522,1.7355",1.0,0.7631229607539922,0.9473684210526315,1,87.66722028689817,49988,49101,0.7368421052631579,0.000890140919925933,18,19
