GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"67.445,146.720536899115",#,#,"8.740058804087806,12.212499999999999",#,#,#,"-1.5125000000000002,2.8925",#,#,#,"80.5,119.5",#,"2.8549999999999995,6.1450000000000005",#,"2.1370000000000005,9.663",#,#,"2.9085,5.4915",1.0,1.0,1.0,1,32.0,49363,43333,0.3684210526315789,0.00032491630673827645,6,6
#,#,#,#,#,"38.9,59.957578426489476",#,"-1.5125000000000002,2.8925",#,#,"6.856,11.344",#,#,"2.8549999999999995,6.1450000000000005","3.032,9.968",#,#,"0.16149999999999998,1.248","2.9085,5.4915",1.0,1.0,1.0,1,32.0,49363,43333,0.3684210526315789,0.00032491630673827645,6,6
#,#,"14.05,24.515963511928007",#,"12.684999999999999,19.715",#,#,#,#,#,#,"80.5,112.9","-0.14800000000000002,2.195",#,"-2.152,4.67250388199816",#,#,#,#,1.0,1.0,1.0,1,77.40751562995811,49946,43395,0.2631578947368421,0.0007859676278834811,52,52
#,#,"14.05,24.515963511928007","6.734999999999999,9.0185","12.684999999999999,19.715","37.26,56.339999999999996","-0.713,0.8704999999999999",#,#,#,#,#,"1.2690000000000001,4.131",#,#,"2.1370000000000005,6.768",#,#,#,1.0,1.0,1.0,1,75.39195652931724,49861,43417,0.3684210526315789,0.0007655023772899514,99,99
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-0.2530000000000001,2.4530000000000003",1.0,0.08684846530764354,0.6134122287968442,1,74.62922666042763,49995,43450,0.05263157894736842,0.0008110718017056276,3732,6084
"59.28,115.44387410932532",#,#,#,#,"31.624000000000002,64.87766687502697","0.7707610393777689,1.536",#,"32.2,68.5",#,#,"66.2,92.2",#,#,#,#,#,#,#,1,0.4878033856933608,0.8662613981762918,1,76.24223052022238,49993,43480,0.2631578947368421,0.000781865250412843,285,329
"52.125,71.53555799850108",#,#,#,#,"20.588,31.612000000000002",#,"0.8300000000000001,5.6919484006662255","-31.5,31.83087083200925","-2.372,3.1719999999999997","-0.6949999999999998,4.166",#,"-0.9455,1.3335000000000001",#,#,#,#,#,"-0.5170000000000001,2.5170000000000003",0.0,1.0,1.0,1,96.20144537600001,49669,43523,0.42105263157894735,0.0009767943229516865,13,13
#,#,#,#,"12.145,17.655",#,#,"-2.0475,2.8925","-37.5,37.5","0.9904999999999997,4.6095","3.4620000000000006,7.338",#,"1.4340000000000002,3.766",#,#,"2.1370000000000005,9.99925390105279",#,#,"1.1135,3.2865",1.0,1.0,1.0,1,87.3782357121178,49861,43574,0.42105263157894735,0.0008872066761527465,56,56
"-12.14,48.975",#,#,#,"1.7699999999999996,9.8",#,#,"-1.425,2.2811573165813113","-33.0,33.0",#,#,#,"-0.9814999999999999,2.7815","-2.5372626993861935,2.474",#,#,#,#,#,0.0,0.15996744569584512,0.6931166347992351,1,79.25279643315002,49989,43652,0.3157894736842105,0.000804703934866861,725,1046
#,"25.104999999999997,48.895",#,#,"11.900000000000002,23.3",#,#,"1.135,3.54713569161508",#,#,"3.599,8.801",#,"0.8280000000000001,3.372",#,#,"-0.643,2.643",#,#,"2.5059999999999993,5.2940000000000005",0.0,0.0031404237068065523,0.3157894736842105,3,40.82314929897471,49748,43718,0.3684210526315789,0.0012435100218420115,6,19
#,#,#,#,#,"17.095999999999997,45.504000000000005",#,"0.024999999999999467,4.575",#,#,#,"40.6,69.6","-0.9455,1.548",#,#,#,"1.0625,2.3375",#,#,0.0,0.06949556106008231,0.5866666666666667,1,72.0417480725441,49961,43755,0.2631578947368421,0.0007314855848343867,44,75
"14.976884093146488,48.975",#,#,#,"1.321954014231451,11.44",#,#,"2.5999999999999996,5.2","13.3,38.3","-0.9859999999999999,2.7945",#,"54.0,111.0","-0.843,2.1805","-3.1915127152111413,3.9430000000000005",#,"-2.0210000000000004,4.021000000000001",#,#,#,0.0,1.0,1.0,1,62.197028612509506,49914,43884,0.47368421052631576,0.0006315259008397343,24,24
"45.41,86.59","19.641841894758468,33.544000000000004",#,"0.8150000000000002,6.0145","3.39,6.818264533540301",#,"-0.05999999999999994,0.9475","0.71,4.09","26.1,54.1",#,"-2.1129999999999995,4.313","61.0,144.75567217550432","-5.214071380743799,1.3335000000000001",#,#,"-2.3210000000000006,3.721",#,"0.03950000000000009,1.5605",#,0.0,0.2373046875,0.75,1,70.10146735551831,49940,43910,0.631578947368421,0.0007117846834402768,54,72
#,#,"14.05,24.515963511928007",#,#,#,"-0.7244999999999999,0.7244999999999999","-1.5125000000000002,1.255743036480679",#,#,#,#,#,#,#,"2.1370000000000005,6.768",#,"-0.7284999999999999,2.9478490097830248",#,1.0,1.0,1.0,2,94.36710626810428,49994,43964,0.2631578947368421,0.0019163382278881813,120,120
#,#,"4.324999999999999,13.675",#,#,#,#,#,#,#,#,#,#,"-1.5550000000000002,2.963",#,#,"1.2375,2.7375",#,"2.083,5.117",1.0,1.0,1.0,2,80.16502936943382,49755,44018,0.21052631578947367,0.0016279328295176188,88,88
#,#,#,"8.120999999999999,12.212499999999999",#,#,#,#,"-1.3000000000000007,59.7",#,#,#,#,"6.920000000000001,9.804",#,#,#,"2.886,4.914",#,1.0,1.0,1.0,1,25.606092800000003,49630,44047,0.21052631578947367,0.00025999490945542416,11,11
#,#,#,"1.835,8.765",#,"40.876,61.19200000000001",#,#,#,#,#,#,#,#,#,"-1.891,6.768","-0.11250000000000004,1.125","0.11750000000000005,1.802","-0.20950000000000002,2.8585000000000003",1.0,0.27342537416778,0.7715565509518477,1,80.63909840632479,49994,44095,0.3157894736842105,0.0008516217970323998,1378,1786
#,#,#,#,"12.684999999999999,19.715",#,#,"-1.105,2.8925",#,"0.9904999999999997,4.6095",#,#,#,#,#,"2.1370000000000005,5.862",#,#,#,1.0,1.0,1.0,1,85.95181727091783,49861,44126,0.21052631578947367,0.000872723344534682,97,97
"-12.14,60.892947098646246",#,#,#,#,#,"-0.21399999999999997,0.614","-1.7525000000000002,1.6213304672650763",#,#,"-1.6989999999999996,3.2989999999999995",#,"-0.589,0.7889999999999999","-2.5372626993861935,3.9430000000000005",#,"-3.8749999999999996,3.2249999999999996","0.275,1.1",#,#,0.0,0.07638375161168762,0.597860962566845,1,77.52784292542296,49999,44144,0.42105263157894735,0.0007758372250861684,559,935
"38.085,115.44387410932532",#,#,"1.8250000000000002,6.7749999999999995",#,"40.876,59.540000000000006","0.7707610393777689,1.536","3.2924999999999995,5.3075",#,"0.8445,1.28644801472818","-2.2190000000000003,4.611",#,"0.1050000000000001,1.6949999999999998",#,"-0.09600000000000009,2.768",#,#,"-0.6944999999999999,1.6284999999999998",#,0,0.0,0.0,1,65.4698368,44255,44255,0.5263157894736842,0.0006647567992441781,0,11
#,#,#,#,#,#,#,#,#,#,#,"80.5,119.5",#,#,"3.032,9.968","2.832,8.768","1.4875,2.7375",#,"2.9085,5.4915",1.0,1.0,1.0,1,54.1820928,49461,44338,0.2631578947368421,0.000550145171372705,11,11
"63.185,100.815","33.541999999999994,43.058",#,"6.933,13.466999999999999",#,#,#,"-1.5125000000000002,2.8925",#,#,"6.856,11.344","80.5,119.5",#,"2.8549999999999995,6.1450000000000005",#,#,#,"0.16149999999999998,1.248",#,1.0,1.0,1.0,1,32.2,49363,44338,0.42105263157894735,0.0003269470336553907,5,5
#,"26.684000000000005,44.033","6.012500000000001,22.7875","3.2835,9.9165",#,"36.4972627095516,53.944","0.8223353344765132,2.444",#,"20.0,58.0",#,#,#,#,"-0.16100000000000048,5.761",#,#,#,#,#,1,0.2567458542283846,0.7619047619047619,1,71.19026179540758,49972,44398,0.3684210526315789,0.0006725546935803993,176,231
#,"21.329,34.871",#,#,#,"30.335999999999995,50.263999999999996",#,#,"32.2,63.2",#,#,#,#,"2.4090000000000003,6.421",#,"-2.8449999999999998,4.08","0.13749999999999996,1.0625",#,"-0.009500000000000064,1.8765",1.0,0.5992508260830514,0.9026548672566371,1,70.38098784261271,49992,44432,0.3684210526315789,0.0006622833535850245,102,113
#,#,#,"0.07150000000000034,4.8375",#,"27.58,53.019999999999996",#,#,#,#,#,"39.6,98.8","1.2220000000000002,4.576561517005203",#,#,#,#,"-0.6944999999999999,1.8385","0.5234999999999999,3.5735",1.0,0.37039856091831524,0.819848975188781,1,70.79926852643979,49995,44432,0.3157894736842105,0.0007188699015431972,760,927
